"","ll_model","model"
"1",-796.854942776733,"SI"
"2",-724.480123338938,"SI"
"3",-724.085229476657,"SI"
"4",-724.264582888268,"SI"
"5",-726.852707544957,"SI"
"6",-749.188932009853,"SI"
"7",-911.241288834559,"SI"
"8",-742.073327668864,"SI"
"9",-724.334884888126,"SI"
"10",-727.58426672536,"SI"
"11",-723.941526289391,"SI"
"12",-769.80033568954,"SI"
"13",-723.791646680086,"SI"
"14",-726.077789781208,"SI"
"15",-724.968807998156,"SI"
"16",-731.550323414087,"SI"
"17",-728.356780688923,"SI"
"18",-743.213122273448,"SI"
"19",-826.899184430569,"SI"
"20",-918.788658302116,"SI"
"21",-724.34467758718,"SI"
"22",-736.407129707284,"SI"
"23",-724.219231036742,"SI"
"24",-725.44734689753,"SI"
"25",-724.09948830807,"SI"
"26",-568.735707929301,"SC"
"27",-566.636844717518,"SC"
"28",-566.022067866024,"SC"
"29",-683.66058503839,"SC"
"30",-624.962749297289,"SC"
"31",-748.639250109587,"SC"
"32",-585.4013941086,"SC"
"33",-565.8697144195,"SC"
"34",-654.206342110764,"SC"
"35",-565.714870915358,"SC"
"36",-567.820083796962,"SC"
"37",-656.105337420899,"SC"
"38",-583.753939917231,"SC"
"39",-574.916459623667,"SC"
"40",-565.691847971222,"SC"
"41",-1083.15461128118,"SC"
"42",-591.439870548875,"SC"
"43",-577.462238857411,"SC"
"44",-633.496829893306,"SC"
"45",-585.785167411527,"SC"
"46",-962.152596850567,"SC"
"47",-1742.77036175936,"SC"
"48",-1826.34144398121,"SC"
"49",-2606.92884106318,"SC"
"50",-733.113462630957,"SC"
"51",-551.535944545403,"IM"
"52",-558.641262901506,"IM"
"53",-545.543984463144,"IM"
"54",-540.192786102859,"IM"
"55",-538.724045378618,"IM"
"56",-640.109359769119,"IM"
"57",-550.530168042933,"IM"
"58",-668.385315448034,"IM"
"59",-1089.28011067445,"IM"
"60",-1069.07801297994,"IM"
"61",-822.404770874598,"IM"
"62",-558.319426376544,"IM"
"63",-553.236504632125,"IM"
"64",-550.986326297188,"IM"
"65",-539.055551605037,"IM"
"66",-540.896291755195,"IM"
"67",-541.946575701497,"IM"
"68",-550.98153653974,"IM"
"69",-541.163836993003,"IM"
"70",-650.619426672528,"IM"
"71",-543.180672102888,"IM"
"72",-543.77960837933,"IM"
"73",-624.730983625701,"IM"
"74",-578.853086828112,"IM"
"75",-542.677417462128,"IM"
"76",-1809.44574944257,"IIM"
"77",-632.44360087177,"IIM"
"78",-730.085758426521,"IIM"
"79",-552.468259638377,"IIM"
"80",-1278.93878122736,"IIM"
"81",-550.557350612615,"IIM"
"82",-591.419114559449,"IIM"
"83",-4954.10845304546,"IIM"
"84",-5104.9311719826,"IIM"
"85",-4749.85298739823,"IIM"
"86",-797.447524241854,"IIM"
"87",-731.07555569145,"IIM"
"88",-560.821166568476,"IIM"
"89",-560.149376014471,"IIM"
"90",-549.467562946106,"IIM"
"91",-569.486960291365,"IIM"
"92",-555.235250280308,"IIM"
"93",-554.173697517783,"IIM"
"94",-565.689068676687,"IIM"
"95",-570.019989324591,"IIM"
"96",-576.597475941506,"IIM"
"97",-560.677319241027,"IIM"
"98",-652.733780490281,"IIM"
"99",-727.792301253732,"IIM"
"100",-652.486848992925,"IIM"
